Target,Subdomain,IP,ASN,ISP,Organization,Country,Region,City,Latitude,Longuitude,TimeZone,User
bancogalicia.com,comex.bancogalicia.com,161.190.1.180,AS13474 Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires S.A,Argentina,Buenos Aires F.D.,Buenos Aires,-34.6022,-58.3845,America/Argentina/Buenos_Aires,user
bancogalicia.com,lyncdiscover.bancogalicia.com,52.112.65.78,AS8075 Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,United States,Virginia,Washington,38.7095,-78.1539,America/New_York,user
bancogalicia.com,sip.bancogalicia.com,52.112.65.75,AS8075 Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,United States,Virginia,Washington,38.7095,-78.1539,America/New_York,user
bancogalicia.com,mail.bancogalicia.com,161.190.1.5,AS13474 Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires S.A,Argentina,Buenos Aires F.D.,Buenos Aires,-34.6022,-58.3845,America/Argentina/Buenos_Aires,user
bancogalicia.com,mailing.bancogalicia.com,161.190.1.30,AS13474 Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires S.A,Argentina,Buenos Aires F.D.,Buenos Aires,-34.6022,-58.3845,America/Argentina/Buenos_Aires,user
bancogalicia.com,autodiscover.bancogalicia.com,52.97.12.104,AS8075 Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Brazil,Sao Paulo,Campinas,-22.9035,-47.0565,America/Sao_Paulo,user
bancogalicia.com,news.bancogalicia.com,161.190.1.5,AS13474 Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires S.A,Argentina,Buenos Aires F.D.,Buenos Aires,-34.6022,-58.3845,America/Argentina/Buenos_Aires,user
bancogalicia.com,wsec03.bancogalicia.com,161.190.1.13,AS13474 Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires S.A,Argentina,Buenos Aires F.D.,Buenos Aires,-34.6022,-58.3845,America/Argentina/Buenos_Aires,user
bancogalicia.com,wsec01.bancogalicia.com,161.190.1.6,AS13474 Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires S.A,Argentina,Buenos Aires F.D.,Buenos Aires,-34.6022,-58.3845,America/Argentina/Buenos_Aires,user
bancogalicia.com,relay.bancogalicia.com,161.190.1.5,AS13474 Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires,Banco de Galicia y Buenos Aires S.A,Argentina,Buenos Aires F.D.,Buenos Aires,-34.6022,-58.3845,America/Argentina/Buenos_Aires,user
